viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
5-981;Versorgung bei Mehrfachverletzung;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
5-982;Versorgung bei Polytrauma;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,3333;0,00;0,3333;0,00;0,00;0,00;0,00
5-983;Reoperation;10233;1;60;85;66;227;439;477;570;567;719;1054;1013;946;995;821;984;698;325;144;42;0,0001;0,0059;0,0083;0,0064;0,0222;0,0429;0,0466;0,0557;0,0554;0,0703;0,103;0,099;0,0924;0,0972;0,0802;0,0962;0,0682;0,0318;0,0141;0,0041
5-984;Mikrochirurgische Technik;28931;1;607;404;214;446;739;791;819;905;1184;1689;1902;1978;2236;2382;3998;4289;2554;1417;376;0,00;0,021;0,014;0,0074;0,0154;0,0255;0,0273;0,0283;0,0313;0,0409;0,0584;0,0657;0,0684;0,0773;0,0823;0,1382;0,1482;0,0883;0,049;0,013
5-985;Lasertechnik;5022;1;486;294;73;194;314;336;299;244;281;382;341;329;317;266;313;299;158;74;21;0,0002;0,0968;0,0585;0,0145;0,0386;0,0625;0,0669;0,0595;0,0486;0,056;0,0761;0,0679;0,0655;0,0631;0,053;0,0623;0,0595;0,0315;0,0147;0,0042
5-986;Minimalinvasive Technik;10007;0;59;40;22;72;83;82;106;118;193;337;507;672;1002;1120;1936;1976;1043;532;107;0,00;0,0059;0,004;0,0022;0,0072;0,0083;0,0082;0,0106;0,0118;0,0193;0,0337;0,0507;0,0672;0,1001;0,1119;0,1935;0,1975;0,1042;0,0532;0,0107
5-987;Anwendung eines OP-Roboters;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,25;0,25;0,25;0,00;0,00;0,00
5-988;Anwendung eines Navigationssystems;1300;0;0;0;2;18;25;32;26;30;54;66;115;111;154;152;237;198;64;16;0;0,00;0,00;0,00;0,0015;0,0138;0,0192;0,0246;0,02;0,0231;0,0415;0,0508;0,0885;0,0854;0,1185;0,1169;0,1823;0,1523;0,0492;0,0123;0,00
5-989;Fluoreszenzgestützte Therapieverfahren;328;0;0;0;0;1;4;3;6;15;13;15;36;34;39;32;51;42;30;7;0;0,00;0,00;0,00;0,00;0,003;0,0122;0,0091;0,0183;0,0457;0,0396;0,0457;0,1098;0,1037;0,1189;0,0976;0,1555;0,128;0,0915;0,0213;0,00
5-98a;Hybridtherapie;11;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4;2;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0909;0,0909;0,0909;0,00;0,3636;0,1818;0,1818;0,00;0,00
5-98b;Anwendung eines flexiblen Ureterorenoskops;224;0;0;0;0;1;2;2;16;9;9;24;27;43;22;26;14;17;11;1;0;0,00;0,00;0,00;0,00;0,0045;0,0089;0,0089;0,0714;0,0402;0,0402;0,1071;0,1205;0,192;0,0982;0,1161;0,0625;0,0759;0,0491;0,0045;0,00
5-98c;Anwendung eines Klammernahtgerätes;375;0;0;0;0;1;5;8;15;13;38;34;53;36;28;39;46;33;16;9;1;0,00;0,00;0,00;0,00;0,0027;0,0133;0,0213;0,04;0,0347;0,1013;0,0907;0,1413;0,096;0,0747;0,104;0,1227;0,088;0,0427;0,024;0,0027
5-98d;Verwendung von patientenindividuell hergestelltem Instrumentarium;207;0;0;0;0;0;0;1;0;0;3;8;11;34;34;45;35;29;7;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0048;0,00;0,00;0,0145;0,0386;0,0531;0,1643;0,1643;0,2174;0,1691;0,1401;0,0338;0,00;0,00
5-98e;Intraoperative Blutflussmessung in Gefäßen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5-995;Vorzeitiger Abbruch einer Operation (Eingriff nicht komplett durchgeführt);446;0;0;0;0;1;7;10;10;17;22;14;32;34;33;50;64;68;48;26;10;0,00;0,00;0,00;0,00;0,0022;0,0157;0,0224;0,0224;0,0381;0,0493;0,0314;0,0717;0,0762;0,074;0,1121;0,1435;0,1525;0,1076;0,0583;0,0224
6-001;Applikation von Medikamenten, Liste 1;520;0;0;0;0;2;3;5;4;5;6;7;23;37;57;68;87;110;79;18;9;0,00;0,00;0,00;0,00;0,0038;0,0058;0,0096;0,0077;0,0096;0,0115;0,0135;0,0442;0,0712;0,1096;0,1308;0,1673;0,2115;0,1519;0,0346;0,0173
6-002;Applikation von Medikamenten, Liste 2;531;0;0;0;0;0;0;6;1;11;27;14;53;65;86;109;67;53;29;8;2;0,00;0,00;0,00;0,00;0,00;0,00;0,0113;0,0019;0,0207;0,0508;0,0264;0,0998;0,1224;0,162;0,2053;0,1262;0,0998;0,0546;0,0151;0,0038
6-003;Applikation von Medikamenten, Liste 3;201;0;2;1;0;0;1;2;3;2;4;13;12;12;23;19;35;33;22;12;5;0,00;0,01;0,005;0,00;0,00;0,005;0,01;0,0149;0,01;0,0199;0,0647;0,0597;0,0597;0,1144;0,0945;0,1741;0,1642;0,1095;0,0597;0,0249
6-004;Applikation von Medikamenten, Liste 4;13;0;0;0;0;0;0;0;6;0;0;0;2;1;0;2;1;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4615;0,00;0,00;0,00;0,1538;0,0769;0,00;0,1538;0,0769;0,00;0,0769;0,00;0,00
6-005;Applikation von Medikamenten, Liste 5;37;0;0;0;0;0;0;1;0;0;0;2;5;1;1;1;7;9;1;8;1;0,00;0,00;0,00;0,00;0,00;0,00;0,027;0,00;0,00;0,00;0,0541;0,1351;0,027;0,027;0,027;0,1892;0,2432;0,027;0,2162;0,027
6-006;Applikation von Medikamenten, Liste 6;12;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;6;2;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,0833;0,00;0,0833;0,50;0,1667;0,0833;0,00;0,00
8-010;Applikation von Medikamenten und Elektrolytlösungen über das Gefäßsystem bei Neugeborenen;83;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8-011;Intrathekale und intraventrikuläre Applikation von Medikamenten durch Medikamentenpumpen;25;0;0;0;0;0;1;0;1;1;1;1;6;2;8;1;3;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,04;0,04;0,04;0,04;0,24;0,08;0,32;0,04;0,12;0,00;0,00;0,00;0,00
8-015;Enterale Ernährungstherapie als medizinische Hauptbehandlung;12;0;1;1;0;0;0;0;0;0;0;1;1;1;2;0;2;1;1;0;1;0,00;0,0833;0,0833;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,0833;0,0833;0,1667;0,00;0,1667;0,0833;0,0833;0,00;0,0833
8-016;Parenterale Ernährungstherapie als medizinische Hauptbehandlung;199;0;0;1;1;4;8;5;4;3;2;9;7;13;26;24;32;26;14;15;5;0,00;0,00;0,005;0,005;0,0201;0,0402;0,0251;0,0201;0,0151;0,0101;0,0452;0,0352;0,0653;0,1307;0,1206;0,1608;0,1307;0,0704;0,0754;0,0251
8-017;Enterale Ernährung als medizinische Nebenbehandlung;35;0;0;0;0;1;1;0;0;0;0;0;4;1;7;1;5;11;2;1;1;0,00;0,00;0,00;0,00;0,0286;0,0286;0,00;0,00;0,00;0,00;0,00;0,1143;0,0286;0,20;0,0286;0,1429;0,3143;0,0571;0,0286;0,0286
8-018;Komplette parenterale Ernährung als medizinische Nebenbehandlung;121;0;0;0;0;0;0;0;1;1;3;3;8;11;13;11;28;29;7;5;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0083;0,0083;0,0248;0,0248;0,0661;0,0909;0,1074;0,0909;0,2314;0,2397;0,0579;0,0413;0,0083
8-020;Therapeutische Injektion;8599;3;102;89;66;262;481;818;815;542;467;518;559;529;560;524;745;763;442;217;97;0,0003;0,0119;0,0104;0,0077;0,0305;0,0559;0,0951;0,0948;0,063;0,0543;0,0602;0,065;0,0615;0,0651;0,0609;0,0866;0,0887;0,0514;0,0252;0,0113
8-030;Spezifische allergologische Immuntherapie;155;0;0;2;11;13;10;5;5;10;17;18;21;17;9;9;6;2;0;0;0;0,00;0,00;0,0129;0,071;0,0839;0,0645;0,0323;0,0323;0,0645;0,1097;0,1161;0,1355;0,1097;0,0581;0,0581;0,0387;0,0129;0,00;0,00;0,00
8-100;Fremdkörperentfernung durch Endoskopie;279;2;34;16;2;2;16;12;12;5;12;13;16;15;23;18;32;20;15;8;6;0,0072;0,1219;0,0573;0,0072;0,0072;0,0573;0,043;0,043;0,0179;0,043;0,0466;0,0573;0,0538;0,0824;0,0645;0,1147;0,0717;0,0538;0,0287;0,0215
8-101;Fremdkörperentfernung ohne Inzision;76;0;15;6;0;7;2;1;2;3;4;2;5;4;5;1;4;2;10;2;1;0,00;0,1974;0,0789;0,00;0,0921;0,0263;0,0132;0,0263;0,0395;0,0526;0,0263;0,0658;0,0526;0,0658;0,0132;0,0526;0,0263;0,1316;0,0263;0,0132
8-102;Fremdkörperentfernung aus der Haut ohne Inzision;11;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;4;0;0;0;1;0,00;0,0909;0,00;0,0909;0,0909;0,00;0,00;0,0909;0,00;0,00;0,0909;0,00;0,00;0,00;0,0909;0,3636;0,00;0,00;0,00;0,0909
8-110;Extrakorporale Stoßwellenlithotripsie [ESWL] von Steinen in den Harnorganen;2534;0;0;0;2;6;25;66;114;137;170;307;356;324;322;230;211;187;50;20;7;0,00;0,00;0,00;0,0008;0,0024;0,0099;0,026;0,045;0,0541;0,0671;0,1212;0,1405;0,1279;0,1271;0,0908;0,0833;0,0738;0,0197;0,0079;0,0028
8-111;Extrakorporale Stoßwellenlithotripsie [ESWL] von Steinen in Gallenblase und Gallengängen;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
8-112;Extrakorporale Stoßwellenlithotripsie [ESWL] von Steinen in sonstigen Organen;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
8-115;Extrakorporale Stoßwellentherapie am Stütz- und Bewegungsapparat;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
8-119;Andere extrakorporale Stoßwellentherapie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8-120;Magenspülung;7;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0,00;0,1429;0,1429;0,00;0,1429;0,1429;0,00;0,00;0,00;0,00;0,00;0,1429;0,00;0,00;0,00;0,00;0,1429;0,1429;0,00;0,00
8-121;Darmspülung;257;0;4;10;12;10;3;1;2;2;5;9;12;16;24;26;38;41;25;11;6;0,00;0,0156;0,0389;0,0467;0,0389;0,0117;0,0039;0,0078;0,0078;0,0195;0,035;0,0467;0,0623;0,0934;0,1012;0,1479;0,1595;0,0973;0,0428;0,0233
8-122;Desinvagination;3;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8-123;Wechsel und Entfernung eines Gastrostomiekatheters;73;0;1;6;1;1;1;1;1;2;2;5;2;4;8;6;9;10;6;6;1;0,00;0,0137;0,0822;0,0137;0,0137;0,0137;0,0137;0,0137;0,0274;0,0274;0,0685;0,0274;0,0548;0,1096;0,0822;0,1233;0,137;0,0822;0,0822;0,0137
8-124;Wechsel und Entfernung eines Jejunostomiekatheters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8-125;Anlegen und Wechsel einer duodenalen oder jejunalen Ernährungssonde;40;0;0;1;0;0;3;0;1;0;0;6;4;2;3;3;4;7;3;1;2;0,00;0,00;0,025;0,00;0,00;0,075;0,00;0,025;0,00;0,00;0,15;0,10;0,05;0,075;0,075;0,10;0,175;0,075;0,025;0,05
8-126;Transanale Irrigation;144;0;0;0;0;0;1;0;0;0;3;2;5;8;16;18;23;31;24;10;3;0,00;0,00;0,00;0,00;0,00;0,0069;0,00;0,00;0,00;0,0208;0,0139;0,0347;0,0556;0,1111;0,125;0,1597;0,2153;0,1667;0,0694;0,0208
8-127;Endoskopisches Einlegen und Entfernung eines Magenballons;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
8-128;Anwendung eines Stuhldrainagesystems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8-132;Manipulationen an der Harnblase;17308;0;1;1;2;14;24;55;45;100;149;404;690;1156;1752;2053;3246;3626;2232;1323;435;0,00;0,0001;0,0001;0,0001;0,0008;0,0014;0,0032;0,0026;0,0058;0,0086;0,0233;0,0399;0,0668;0,1012;0,1186;0,1875;0,2095;0,129;0,0764;0,0251
8-133;Wechsel und Entfernung eines suprapubischen Katheters;1401;0;0;0;0;1;1;7;6;9;15;33;61;81;150;193;234;257;177;116;60;0,00;0,00;0,00;0,00;0,0007;0,0007;0,005;0,0043;0,0064;0,0107;0,0236;0,0435;0,0578;0,1071;0,1378;0,167;0,1834;0,1263;0,0828;0,0428
8-137;Einlegen, Wechsel und Entfernung einer Ureterschiene [Ureterkatheter];10157;0;2;11;8;72;168;276;340;383;489;845;956;1031;1012;865;1069;1200;803;447;180;0,00;0,0002;0,0011;0,0008;0,0071;0,0165;0,0272;0,0335;0,0377;0,0481;0,0832;0,0941;0,1015;0,0996;0,0852;0,1052;0,1181;0,0791;0,044;0,0177
8-138;Wechsel und Entfernung eines Nephrostomiekatheters;424;0;0;0;0;1;1;1;5;1;4;17;12;21;27;34;67;80;84;52;17;0,00;0,00;0,00;0,00;0,0024;0,0024;0,0024;0,0118;0,0024;0,0094;0,0401;0,0283;0,0495;0,0637;0,0802;0,158;0,1887;0,1981;0,1226;0,0401
8-139;Andere Manipulationen am Harntrakt;1816;0;0;2;1;17;107;197;256;150;135;149;135;130;101;90;133;132;48;23;10;0,00;0,00;0,0011;0,0006;0,0094;0,0589;0,1085;0,141;0,0826;0,0743;0,082;0,0743;0,0716;0,0556;0,0496;0,0732;0,0727;0,0264;0,0127;0,0055
8-144;Therapeutische Drainage der Pleurahöhle;180;0;0;0;0;5;6;4;5;3;4;7;12;11;13;15;36;17;21;13;8;0,00;0,00;0,00;0,00;0,0278;0,0333;0,0222;0,0278;0,0167;0,0222;0,0389;0,0667;0,0611;0,0722;0,0833;0,20;0,0944;0,1167;0,0722;0,0444
8-146;Therapeutische Drainage von Organen des Bauchraumes;14;0;0;0;0;0;0;1;0;0;0;1;3;0;1;2;2;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0714;0,00;0,00;0,00;0,0714;0,2143;0,00;0,0714;0,1429;0,1429;0,2143;0,00;0,0714;0,00
8-147;Therapeutische Drainage von Harnorganen;1616;0;0;1;1;3;22;50;57;48;48;78;90;106;163;148;224;291;159;95;32;0,00;0,00;0,0006;0,0006;0,0019;0,0136;0,0309;0,0353;0,0297;0,0297;0,0483;0,0557;0,0656;0,1009;0,0916;0,1386;0,1801;0,0984;0,0588;0,0198
8-148;Therapeutische Drainage von anderen Organen und Geweben;455;0;0;0;0;5;24;32;63;46;69;72;49;21;20;22;14;13;4;1;0;0,00;0,00;0,00;0,00;0,011;0,0527;0,0703;0,1385;0,1011;0,1516;0,1582;0,1077;0,0462;0,044;0,0484;0,0308;0,0286;0,0088;0,0022;0,00
8-149;Andere therapeutische Katheterisierung und Kanüleneinlage;202;0;6;0;0;1;0;1;0;1;4;11;12;21;12;13;33;25;21;25;16;0,00;0,0297;0,00;0,00;0,005;0,00;0,005;0,00;0,005;0,0198;0,0545;0,0594;0,104;0,0594;0,0644;0,1634;0,1238;0,104;0,1238;0,0792
8-151;Therapeutische perkutane Punktion des Zentralnervensystems und des Auges;58;1;0;0;0;1;2;1;3;1;2;6;5;2;2;6;7;9;4;6;0;0,0172;0,00;0,00;0,00;0,0172;0,0345;0,0172;0,0517;0,0172;0,0345;0,1034;0,0862;0,0345;0,0345;0,1034;0,1207;0,1552;0,069;0,1034;0,00
8-152;Therapeutische perkutane Punktion von Organen des Thorax;652;0;0;0;0;2;0;0;0;2;5;11;14;30;35;56;138;125;112;77;45;0,00;0,00;0,00;0,00;0,0031;0,00;0,00;0,00;0,0031;0,0077;0,0169;0,0215;0,046;0,0537;0,0859;0,2117;0,1917;0,1718;0,1181;0,069
8-153;Therapeutische perkutane Punktion der Bauchhöhle;389;0;0;0;0;1;0;2;8;5;6;16;27;21;40;41;88;74;31;27;2;0,00;0,00;0,00;0,00;0,0026;0,00;0,0051;0,0206;0,0129;0,0154;0,0411;0,0694;0,054;0,1028;0,1054;0,2262;0,1902;0,0797;0,0694;0,0051
8-154;Therapeutische perkutane Punktion von Organen des Bauchraumes;10;0;0;0;0;0;0;1;0;1;1;0;2;0;1;0;1;3;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,10;0,10;0,00;0,20;0,00;0,10;0,00;0,10;0,30;0,00;0,00;0,00
8-155;Therapeutische perkutane Punktion von Harnorganen;69;0;0;0;0;0;0;0;0;2;2;2;6;8;10;10;11;8;7;3;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,029;0,029;0,029;0,087;0,1159;0,1449;0,1449;0,1594;0,1159;0,1014;0,0435;0,00
8-156;Therapeutische perkutane Punktion von männlichen Geschlechtsorganen;28;0;0;0;0;0;1;0;0;0;0;1;0;1;3;2;9;8;0;1;2;0,00;0,00;0,00;0,00;0,00;0,0357;0,00;0,00;0,00;0,00;0,0357;0,00;0,0357;0,1071;0,0714;0,3214;0,2857;0,00;0,0357;0,0714
8-157;Therapeutische perkutane Punktion von weiblichen Geschlechtsorganen;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,40;0,00;0,20;0,00;0,00
8-158;Therapeutische perkutane Punktion eines Gelenkes;260;0;0;1;0;4;20;8;7;8;8;12;21;14;30;22;24;40;22;14;5;0,00;0,00;0,0038;0,00;0,0154;0,0769;0,0308;0,0269;0,0308;0,0308;0,0462;0,0808;0,0538;0,1154;0,0846;0,0923;0,1538;0,0846;0,0538;0,0192
8-159;Andere therapeutische perkutane Punktion;130;0;0;0;0;3;2;6;1;5;4;4;3;12;12;15;23;18;9;10;3;0,00;0,00;0,00;0,00;0,0231;0,0154;0,0462;0,0077;0,0385;0,0308;0,0308;0,0231;0,0923;0,0923;0,1154;0,1769;0,1385;0,0692;0,0769;0,0231
8-170;Therapeutische Spülung (Lavage) des Auges;21;0;1;1;1;0;0;0;2;0;1;0;2;0;1;0;4;4;0;3;1;0,00;0,0476;0,0476;0,0476;0,00;0,00;0,00;0,0952;0,00;0,0476;0,00;0,0952;0,00;0,0476;0,00;0,1905;0,1905;0,00;0,1429;0,0476
8-171;Therapeutische Spülung (Lavage) des Ohres;137;0;28;30;3;3;2;1;7;9;7;9;3;8;9;2;7;6;1;1;1;0,00;0,2044;0,219;0,0219;0,0219;0,0146;0,0073;0,0511;0,0657;0,0511;0,0657;0,0219;0,0584;0,0657;0,0146;0,0511;0,0438;0,0073;0,0073;0,0073
8-172;Therapeutische Spülung (Lavage) der Nasennebenhöhlen;22;0;0;0;0;3;3;0;0;0;3;0;4;2;3;1;1;1;0;1;0;0,00;0,00;0,00;0,00;0,1364;0,1364;0,00;0,00;0,00;0,1364;0,00;0,1818;0,0909;0,1364;0,0455;0,0455;0,0455;0,00;0,0455;0,00
8-173;Therapeutische Spülung (Lavage) der Lunge und der Pleurahöhle;9;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;3;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,1111;0,00;0,00;0,00;0,00;0,00;0,1111;0,1111;0,2222;0,00;0,3333;0,00;0,1111;0,00;0,00
8-176;Therapeutische Spülung des Bauchraumes bei liegender Drainage und temporärem Bauchdeckenverschluss;104;0;0;1;1;4;1;8;8;9;6;13;8;8;9;7;8;6;3;2;2;0,00;0,00;0,0096;0,0096;0,0385;0,0096;0,0769;0,0769;0,0865;0,0577;0,125;0,0769;0,0769;0,0865;0,0673;0,0769;0,0577;0,0288;0,0192;0,0192
8-177;Therapeutische Spülung des Retroperitonealraumes bei liegender Drainage und temporärem Bauchdeckenverschluss;5;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,20;0,20;0,20;0,00;0,00;0,00;0,00
8-178;Therapeutische Spülung eines Gelenkes;70;0;0;0;0;2;2;2;2;3;2;6;5;9;8;5;11;8;4;1;0;0,00;0,00;0,00;0,00;0,0286;0,0286;0,0286;0,0286;0,0429;0,0286;0,0857;0,0714;0,1286;0,1143;0,0714;0,1571;0,1143;0,0571;0,0143;0,00
8-179;Andere therapeutische Spülungen;213;0;1;0;2;4;9;7;12;10;9;16;16;13;20;14;20;25;13;17;5;0,00;0,0047;0,00;0,0094;0,0188;0,0423;0,0329;0,0563;0,0469;0,0423;0,0751;0,0751;0,061;0,0939;0,0657;0,0939;0,1174;0,061;0,0798;0,0235
8-190;Spezielle Verbandstechniken;755;0;0;0;1;7;12;17;15;12;20;37;40;67;70;80;120;113;68;57;19;0,00;0,00;0,00;0,0013;0,0093;0,0159;0,0225;0,0199;0,0159;0,0265;0,049;0,053;0,0887;0,0927;0,106;0,1589;0,1497;0,0901;0,0755;0,0252
8-191;Verband bei großflächigen und schwerwiegenden Hauterkrankungen;1344;1;6;6;7;3;15;22;17;18;23;40;58;70;84;97;169;283;188;173;64;0,0007;0,0045;0,0045;0,0052;0,0022;0,0112;0,0164;0,0126;0,0134;0,0171;0,0298;0,0432;0,0521;0,0625;0,0722;0,1257;0,2106;0,1399;0,1287;0,0476
8-192;Entfernung von erkranktem Gewebe an Haut und Unterhaut ohne Anästhesie (im Rahmen eines Verbandwechsels) bei Vorliegen einer Wunde;1250;0;0;2;1;7;20;42;41;38;62;83;103;104;82;102;149;184;123;86;21;0,00;0,00;0,0016;0,0008;0,0056;0,016;0,0336;0,0328;0,0304;0,0496;0,0664;0,0824;0,0832;0,0656;0,0816;0,1192;0,1472;0,0984;0,0688;0,0168
8-200;Geschlossene Reposition einer Fraktur ohne Osteosynthese;75;0;4;35;25;3;0;0;0;1;2;0;0;1;0;1;1;0;1;1;0;0,00;0,0533;0,4667;0,3333;0,04;0,00;0,00;0,00;0,0133;0,0267;0,00;0,00;0,0133;0,00;0,0133;0,0133;0,00;0,0133;0,0133;0,00
8-201;Geschlossene Reposition einer Gelenkluxation ohne Osteosynthese;223;1;1;2;0;3;2;5;4;2;3;11;15;16;16;18;37;38;25;18;6;0,0045;0,0045;0,009;0,00;0,0135;0,009;0,0224;0,0179;0,009;0,0135;0,0493;0,0673;0,0717;0,0717;0,0807;0,1659;0,1704;0,1121;0,0807;0,0269
8-202;Geschlossene Reposition einer Fraktur oder Gelenkluxation an der Wirbelsäule ohne Osteosynthese;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00
8-210;Brisement force;669;3;2;3;10;10;6;7;10;16;35;70;102;112;93;78;58;43;9;2;0;0,0045;0,003;0,0045;0,0149;0,0149;0,009;0,0105;0,0149;0,0239;0,0523;0,1046;0,1525;0,1674;0,139;0,1166;0,0867;0,0643;0,0135;0,003;0,00
8-211;Redressierende Verfahren;16;2;0;0;0;1;0;1;0;1;1;2;1;3;0;1;2;1;0;0;0;0,125;0,00;0,00;0,00;0,0625;0,00;0,0625;0,00;0,0625;0,0625;0,125;0,0625;0,1875;0,00;0,0625;0,125;0,0625;0,00;0,00;0,00
8-212;Quengelbehandlung;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
8-213;Osteoklasie;5;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,40;0,20;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00
