viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
5-892;Andere Inzision an Haut und Unterhaut;138322;702;1591;1484;1717;3015;4316;5153;5654;5338;6763;9655;10813;10466;10766;9931;14127;15458;10858;7280;3235;0,0051;0,0115;0,0107;0,0124;0,0218;0,0312;0,0373;0,0409;0,0386;0,0489;0,0698;0,0782;0,0757;0,0778;0,0718;0,1021;0,1118;0,0785;0,0526;0,0234
5-894;Lokale Exzision von erkranktem Gewebe an Haut und Unterhaut;109640;541;1128;1269;1411;2484;3798;4775;5076;5040;6110;8571;9014;8405;8320;7442;10702;11124;7363;4887;2180;0,0049;0,0103;0,0116;0,0129;0,0227;0,0346;0,0436;0,0463;0,046;0,0557;0,0782;0,0822;0,0767;0,0759;0,0679;0,0976;0,1015;0,0672;0,0446;0,0199
5-895;Radikale und ausgedehnte Exzision von erkranktem Gewebe an Haut und Unterhaut;145886;199;585;588;689;1426;2530;3482;3696;3873;5220;7787;8925;9079;10474;11003;19008;22988;16707;12070;5557;0,0014;0,004;0,004;0,0047;0,0098;0,0173;0,0239;0,0253;0,0265;0,0358;0,0534;0,0612;0,0622;0,0718;0,0754;0,1303;0,1576;0,1145;0,0827;0,0381
5-896;Chirurgische Wundtoilette [Wunddebridement] mit Entfernung von erkranktem Gewebe an Haut und Unterhaut;230823;308;1219;1306;1675;3463;4762;5468;5497;6051;8016;12683;17016;18352;21247;20211;29167;31814;21582;14374;6612;0,0013;0,0053;0,0057;0,0073;0,015;0,0206;0,0237;0,0238;0,0262;0,0347;0,0549;0,0737;0,0795;0,092;0,0876;0,1264;0,1378;0,0935;0,0623;0,0286
5-897;Exzision und Rekonstruktion eines Sinus pilonidalis;26995;39;56;13;600;5738;6785;5023;3170;1758;1250;1041;636;342;207;116;81;77;36;19;8;0,0014;0,0021;0,0005;0,0222;0,2126;0,2513;0,1861;0,1174;0,0651;0,0463;0,0386;0,0236;0,0127;0,0077;0,0043;0,003;0,0029;0,0013;0,0007;0,0003
5-898;Operationen am Nagelorgan;12378;61;673;458;842;753;604;432;395;361;505;772;867;804;884;706;945;1015;707;427;167;0,0049;0,0544;0,037;0,068;0,0608;0,0488;0,0349;0,0319;0,0292;0,0408;0,0624;0,07;0,065;0,0714;0,057;0,0763;0,082;0,0571;0,0345;0,0135
5-899;Andere Exzision an Haut und Unterhaut;1368;14;17;11;13;15;25;53;51;62;75;108;120;103;119;99;156;142;103;58;24;0,0102;0,0124;0,008;0,0095;0,011;0,0183;0,0387;0,0373;0,0453;0,0548;0,0789;0,0877;0,0753;0,087;0,0724;0,114;0,1038;0,0753;0,0424;0,0175
5-900;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut;158646;231;2556;2173;2090;4243;5362;4986;4610;4444;5586;8363;10234;10164;11033;10350;15493;18427;15320;13918;9063;0,0015;0,0161;0,0137;0,0132;0,0267;0,0338;0,0314;0,0291;0,028;0,0352;0,0527;0,0645;0,0641;0,0695;0,0652;0,0977;0,1162;0,0966;0,0877;0,0571
5-901;Freie Hauttransplantation, Entnahmestelle;17993;35;152;104;86;156;293;352;363;355;548;911;1259;1452;1628;1501;2287;2606;1928;1351;626;0,0019;0,0084;0,0058;0,0048;0,0087;0,0163;0,0196;0,0202;0,0197;0,0305;0,0506;0,07;0,0807;0,0905;0,0834;0,1271;0,1448;0,1072;0,0751;0,0348
5-902;Freie Hauttransplantation, Empfängerstelle;50608;83;408;230;269;457;749;846;947;965;1407;2363;3366;3720;4296;4211;6520;7621;5852;4293;2005;0,0016;0,0081;0,0045;0,0053;0,009;0,0148;0,0167;0,0187;0,0191;0,0278;0,0467;0,0665;0,0735;0,0849;0,0832;0,1288;0,1506;0,1156;0,0848;0,0396
5-903;Lokale Lappenplastik an Haut und Unterhaut;91362;179;650;513;677;991;1306;1524;1542;1833;2623;4316;5347;5699;6790;7580;13495;15337;10529;7267;3164;0,002;0,0071;0,0056;0,0074;0,0108;0,0143;0,0167;0,0169;0,0201;0,0287;0,0472;0,0585;0,0624;0,0743;0,083;0,1477;0,1679;0,1152;0,0795;0,0346
5-904;Lappenplastik an Haut und Unterhaut, Entnahmestelle;2155;1;5;5;4;21;53;52;45;66;80;150;217;262;245;215;264;247;124;71;28;0,0005;0,0023;0,0023;0,0019;0,0097;0,0246;0,0241;0,0209;0,0306;0,0371;0,0696;0,1007;0,1216;0,1137;0,0998;0,1225;0,1146;0,0575;0,0329;0,013
5-905;Lappenplastik an Haut und Unterhaut, Empfängerstelle;5244;17;35;19;79;108;177;143;148;176;212;338;492;546;483;471;583;577;333;225;82;0,0032;0,0067;0,0036;0,0151;0,0206;0,0338;0,0273;0,0282;0,0336;0,0404;0,0645;0,0938;0,1041;0,0921;0,0898;0,1112;0,11;0,0635;0,0429;0,0156
5-906;Kombinierte plastische Eingriffe an Haut und Unterhaut;2976;7;23;22;21;34;81;75;74;77;76;152;186;229;248;238;376;439;318;213;87;0,0024;0,0077;0,0074;0,0071;0,0114;0,0272;0,0252;0,0249;0,0259;0,0255;0,0511;0,0625;0,0769;0,0833;0,08;0,1263;0,1475;0,1069;0,0716;0,0292
5-907;Revision einer Hautplastik;6326;9;30;49;82;152;200;212;228;255;395;529;735;654;600;490;607;558;299;168;74;0,0014;0,0047;0,0077;0,013;0,024;0,0316;0,0335;0,036;0,0403;0,0624;0,0836;0,1162;0,1034;0,0948;0,0775;0,096;0,0882;0,0473;0,0266;0,0117
5-908;Plastische Operation an Lippe und Mundwinkel;5252;37;530;227;117;189;199;191;175;168;150;236;290;250;303;254;492;628;404;285;127;0,007;0,1009;0,0432;0,0223;0,036;0,0379;0,0364;0,0333;0,032;0,0286;0,0449;0,0552;0,0476;0,0577;0,0484;0,0937;0,1196;0,0769;0,0543;0,0242
5-909;Andere Wiederherstellung und Rekonstruktion von Haut und Unterhaut;3110;9;43;32;67;118;151;140;146;162;179;339;384;283;235;178;217;196;110;82;39;0,0029;0,0138;0,0103;0,0215;0,0379;0,0486;0,045;0,0469;0,0521;0,0576;0,109;0,1235;0,091;0,0756;0,0572;0,0698;0,063;0,0354;0,0264;0,0125
5-910;Straffungsoperation am Gesicht;404;0;0;3;5;2;8;6;2;8;11;25;47;46;44;40;54;50;30;19;4;0,00;0,00;0,0074;0,0124;0,005;0,0198;0,0149;0,005;0,0198;0,0272;0,0619;0,1163;0,1139;0,1089;0,099;0,1337;0,1238;0,0743;0,047;0,0099
5-911;Gewebereduktion an Haut und Unterhaut;14229;9;43;21;57;357;785;983;1140;1330;1574;1990;1950;1388;1027;665;487;279;100;29;15;0,0006;0,003;0,0015;0,004;0,0251;0,0552;0,0691;0,0801;0,0935;0,1106;0,1399;0,137;0,0975;0,0722;0,0467;0,0342;0,0196;0,007;0,002;0,0011
5-912;Haartransplantation und Haartransposition;11;0;0;0;1;2;0;0;1;0;2;1;1;0;0;0;0;2;1;0;0;0,00;0,00;0,00;0,0909;0,1818;0,00;0,00;0,0909;0,00;0,1818;0,0909;0,0909;0,00;0,00;0,00;0,00;0,1818;0,0909;0,00;0,00
5-913;Entfernung oberflächlicher Hautschichten;23557;150;506;499;307;292;305;429;471;388;459;688;867;991;1289;1775;3421;4173;3329;2256;962;0,0064;0,0215;0,0212;0,013;0,0124;0,0129;0,0182;0,02;0,0165;0,0195;0,0292;0,0368;0,0421;0,0547;0,0753;0,1452;0,1771;0,1413;0,0958;0,0408
5-914;Chemochirurgie der Haut;1595;70;20;20;14;4;11;17;29;23;37;71;72;36;63;109;222;314;218;171;74;0,0439;0,0125;0,0125;0,0088;0,0025;0,0069;0,0107;0,0182;0,0144;0,0232;0,0445;0,0451;0,0226;0,0395;0,0683;0,1392;0,1969;0,1367;0,1072;0,0464
5-915;Destruktion von erkranktem Gewebe an Haut und Unterhaut;11248;913;541;415;346;325;415;607;636;458;439;466;416;402;378;453;980;1193;927;662;276;0,0812;0,0481;0,0369;0,0308;0,0289;0,0369;0,054;0,0565;0,0407;0,039;0,0414;0,037;0,0357;0,0336;0,0403;0,0871;0,1061;0,0824;0,0589;0,0245
5-916;Temporäre Weichteildeckung;168041;171;252;228;477;1366;2024;2362;2633;3114;4610;7850;11323;13187;16310;16273;24325;26520;18117;11736;5163;0,001;0,0015;0,0014;0,0028;0,0081;0,012;0,0141;0,0157;0,0185;0,0274;0,0467;0,0674;0,0785;0,0971;0,0968;0,1448;0,1578;0,1078;0,0698;0,0307
5-917;Syndaktylie- und Polydaktyliekorrektur der Finger;791;232;409;72;17;13;7;9;4;2;5;7;2;3;1;3;2;1;2;0;0;0,2933;0,5171;0,091;0,0215;0,0164;0,0088;0,0114;0,0051;0,0025;0,0063;0,0088;0,0025;0,0038;0,0013;0,0038;0,0025;0,0013;0,0025;0,00;0,00
5-918;Syndaktylie- und Polydaktyliekorrektur der Zehen;339;96;133;46;21;19;2;3;4;1;3;4;3;0;1;0;2;0;0;1;0;0,2832;0,3923;0,1357;0,0619;0,056;0,0059;0,0088;0,0118;0,0029;0,0088;0,0118;0,0088;0,00;0,0029;0,00;0,0059;0,00;0,00;0,0029;0,00
5-919;Operative Versorgung von Mehrfachtumoren an einer Lokalisation der Haut in einer Sitzung;3665;0;1;2;6;8;21;27;42;44;53;93;113;110;167;222;533;858;651;494;220;0,00;0,0003;0,0005;0,0016;0,0022;0,0057;0,0074;0,0115;0,012;0,0145;0,0254;0,0308;0,03;0,0456;0,0606;0,1454;0,2341;0,1776;0,1348;0,06
5-91a;Andere Operationen an Haut und Unterhaut;643;17;11;3;15;7;35;13;17;22;22;41;53;45;55;39;72;74;54;32;16;0,0264;0,0171;0,0047;0,0233;0,0109;0,0544;0,0202;0,0264;0,0342;0,0342;0,0638;0,0824;0,07;0,0855;0,0607;0,112;0,1151;0,084;0,0498;0,0249
5-920;Inzision an Haut und Unterhaut bei Verbrennungen und Verätzungen;458;2;20;5;17;24;43;26;37;36;20;48;39;30;28;21;17;22;14;7;2;0,0044;0,0437;0,0109;0,0371;0,0524;0,0939;0,0568;0,0808;0,0786;0,0437;0,1048;0,0852;0,0655;0,0611;0,0459;0,0371;0,048;0,0306;0,0153;0,0044
5-921;Chirurgische Wundtoilette [Wunddebridement] und Entfernung von erkranktem Gewebe an Haut und Unterhaut bei Verbrennungen und Verätzungen;23987;1247;6055;1225;877;1139;1201;1070;1208;885;967;1293;1347;1271;886;665;812;860;520;301;158;0,052;0,2524;0,0511;0,0366;0,0475;0,0501;0,0446;0,0504;0,0369;0,0403;0,0539;0,0562;0,053;0,0369;0,0277;0,0339;0,0359;0,0217;0,0125;0,0066
5-922;Wunddebridement an Muskel, Sehne und Faszie bei Verbrennungen und Verätzungen;515;4;17;6;12;11;29;25;13;17;17;29;55;35;39;37;39;51;42;28;9;0,0078;0,033;0,0117;0,0233;0,0214;0,0563;0,0485;0,0252;0,033;0,033;0,0563;0,1068;0,068;0,0757;0,0718;0,0757;0,099;0,0816;0,0544;0,0175
5-923;Temporäre Weichteildeckung bei Verbrennungen und Verätzungen;8634;756;3238;660;339;322;397;330;344;197;244;334;305;315;194;118;156;175;120;45;45;0,0876;0,375;0,0764;0,0393;0,0373;0,046;0,0382;0,0398;0,0228;0,0283;0,0387;0,0353;0,0365;0,0225;0,0137;0,0181;0,0203;0,0139;0,0052;0,0052
5-924;Freie Hauttransplantation und Lappenplastik an Haut und Unterhaut bei Verbrennungen und Verätzungen, Entnahmestelle;553;14;92;35;25;13;26;20;13;18;29;34;24;42;24;23;34;34;30;13;10;0,0253;0,1664;0,0633;0,0452;0,0235;0,047;0,0362;0,0235;0,0325;0,0524;0,0615;0,0434;0,0759;0,0434;0,0416;0,0615;0,0615;0,0542;0,0235;0,0181
5-925;Freie Hauttransplantation und Lappenplastik an Haut und Unterhaut bei Verbrennungen und Verätzungen, Empfängerstelle;4846;85;506;131;123;241;299;261;266;220;260;356;379;321;280;245;293;267;174;92;47;0,0175;0,1044;0,027;0,0254;0,0497;0,0617;0,0539;0,0549;0,0454;0,0537;0,0735;0,0782;0,0662;0,0578;0,0506;0,0605;0,0551;0,0359;0,019;0,0097
5-926;Lokale Lappenplastik an Haut und Unterhaut bei Verbrennungen und Verätzungen;666;3;41;26;30;42;36;34;21;19;33;42;31;21;32;30;74;52;48;37;14;0,0045;0,0616;0,039;0,045;0,0631;0,0541;0,0511;0,0315;0,0285;0,0495;0,0631;0,0465;0,0315;0,048;0,045;0,1111;0,0781;0,0721;0,0556;0,021
5-927;Kombinierte plastische Eingriffe an Haut und Unterhaut bei Verbrennungen und Verätzungen;57;1;3;0;0;4;2;2;3;3;4;4;3;1;4;6;3;9;2;2;1;0,0175;0,0526;0,00;0,00;0,0702;0,0351;0,0351;0,0526;0,0526;0,0702;0,0702;0,0526;0,0175;0,0702;0,1053;0,0526;0,1579;0,0351;0,0351;0,0175
5-928;Primärer Wundverschluss der Haut und Revision einer Hautplastik bei Verbrennungen und Verätzungen;616;4;35;10;9;14;22;42;32;39;16;61;53;45;27;31;45;38;46;23;24;0,0065;0,0568;0,0162;0,0146;0,0227;0,0357;0,0682;0,0519;0,0633;0,026;0,099;0,086;0,0731;0,0438;0,0503;0,0731;0,0617;0,0747;0,0373;0,039
5-929;Andere Operationen bei Verbrennungen und Verätzungen;129;3;19;4;16;8;8;0;6;10;5;3;16;3;4;4;6;11;3;0;0;0,0233;0,1473;0,031;0,124;0,062;0,062;0,00;0,0465;0,0775;0,0388;0,0233;0,124;0,0233;0,031;0,031;0,0465;0,0853;0,0233;0,00;0,00
5-930;Art des Transplantates;64900;95;70;65;122;193;308;312;414;516;870;1902;4053;6487;8639;8336;11272;11087;5995;3177;987;0,0015;0,0011;0,001;0,0019;0,003;0,0047;0,0048;0,0064;0,008;0,0134;0,0293;0,0624;0,10;0,1331;0,1284;0,1737;0,1708;0,0924;0,049;0,0152
5-931;Verwendung von hypoallergenem Knochenersatz- und Osteosynthesematerial;35242;5;73;280;525;1018;1058;1082;1004;1113;1507;2408;3086;3199;3192;2867;3614;3642;2560;1970;1039;0,0001;0,0021;0,0079;0,0149;0,0289;0,03;0,0307;0,0285;0,0316;0,0428;0,0683;0,0876;0,0908;0,0906;0,0814;0,1025;0,1033;0,0726;0,0559;0,0295
5-932;Art des verwendeten Materials für Gewebeersatz und Gewebeverstärkung;211728;198;65;55;72;868;2773;3905;5320;7192;11215;17724;21761;22162;23647;21316;28512;25038;12458;5890;1557;0,0009;0,0003;0,0003;0,0003;0,0041;0,0131;0,0184;0,0251;0,034;0,053;0,0837;0,1028;0,1047;0,1117;0,1007;0,1347;0,1183;0,0588;0,0278;0,0074
5-933;Verwendung einer Kunststoff- oder biologischen Membran zur Prophylaxe von Adhäsionen;4423;331;144;59;48;99;125;308;478;531;474;488;359;238;192;151;198;127;50;19;4;0,0748;0,0326;0,0133;0,0109;0,0224;0,0283;0,0696;0,1081;0,1201;0,1072;0,1103;0,0812;0,0538;0,0434;0,0341;0,0448;0,0287;0,0113;0,0043;0,0009
5-934;Verwendung von MRT-fähigem Material;11358;0;3;2;22;51;95;103;124;126;244;405;693;762;1013;1161;2096;2332;1336;642;148;0,00;0,0003;0,0002;0,0019;0,0045;0,0084;0,0091;0,0109;0,0111;0,0215;0,0357;0,061;0,0671;0,0892;0,1022;0,1845;0,2053;0,1176;0,0565;0,013
5-935;Verwendung von beschichtetem Osteosynthesematerial;1118;0;7;16;21;22;31;20;21;26;31;66;98;89;138;108;155;130;77;38;24;0,00;0,0063;0,0143;0,0188;0,0197;0,0277;0,0179;0,0188;0,0233;0,0277;0,059;0,0877;0,0796;0,1234;0,0966;0,1386;0,1163;0,0689;0,034;0,0215
5-936;Verwendung von Arzneimitteln für neuartige Therapien;109;0;0;0;2;10;13;11;8;19;15;17;6;2;1;2;1;2;0;0;0;0,00;0,00;0,00;0,0183;0,0917;0,1193;0,1009;0,0734;0,1743;0,1376;0,156;0,055;0,0183;0,0092;0,0183;0,0092;0,0183;0,00;0,00;0,00
5-937;Verwendung von thermomechanischem Osteosynthesematerial;205;0;0;1;0;3;8;4;3;3;10;16;21;30;26;26;25;16;5;7;1;0,00;0,00;0,0049;0,00;0,0146;0,039;0,0195;0,0146;0,0146;0,0488;0,078;0,1024;0,1463;0,1268;0,1268;0,122;0,078;0,0244;0,0341;0,0049
5-981;Versorgung bei Mehrfachverletzung;1616;0;3;10;15;80;106;80;69;61;83;98;138;103;121;96;141;137;124;103;48;0,00;0,0019;0,0062;0,0093;0,0495;0,0656;0,0495;0,0427;0,0377;0,0514;0,0606;0,0854;0,0637;0,0749;0,0594;0,0873;0,0848;0,0767;0,0637;0,0297
5-982;Versorgung bei Polytrauma;1527;0;5;6;14;107;188;122;99;76;101;120;155;117;88;69;92;74;51;30;13;0,00;0,0033;0,0039;0,0092;0,0701;0,1231;0,0799;0,0648;0,0498;0,0661;0,0786;0,1015;0,0766;0,0576;0,0452;0,0602;0,0485;0,0334;0,0196;0,0085
5-983;Reoperation;167208;469;1229;1566;1602;3059;4536;5268;5868;6524;8819;13365;15583;15452;15938;15032;19453;17503;9308;5004;1630;0,0028;0,0074;0,0094;0,0096;0,0183;0,0271;0,0315;0,0351;0,039;0,0527;0,0799;0,0932;0,0924;0,0953;0,0899;0,1163;0,1047;0,0557;0,0299;0,0097
5-984;Mikrochirurgische Technik;386967;1914;5996;4170;2681;4364;6299;8651;11649;14257;19529;29252;35633;36198;37018;34355;48709;47756;24231;11253;3052;0,0049;0,0155;0,0108;0,0069;0,0113;0,0163;0,0224;0,0301;0,0368;0,0505;0,0756;0,0921;0,0935;0,0957;0,0888;0,1259;0,1234;0,0626;0,0291;0,0079
5-985;Lasertechnik;44686;480;2666;1188;322;458;930;1540;1756;1546;1884;2853;3657;4132;4372;3990;4899;4354;2235;1136;288;0,0107;0,0597;0,0266;0,0072;0,0102;0,0208;0,0345;0,0393;0,0346;0,0422;0,0638;0,0818;0,0925;0,0978;0,0893;0,1096;0,0974;0,05;0,0254;0,0064
5-986;Minimalinvasive Technik;75671;131;217;248;308;647;902;1158;1412;1758;2601;4313;5806;6848;8104;8131;11830;11454;5959;2906;938;0,0017;0,0029;0,0033;0,0041;0,0086;0,0119;0,0153;0,0187;0,0232;0,0344;0,057;0,0767;0,0905;0,1071;0,1075;0,1563;0,1514;0,0787;0,0384;0,0124
5-987;Anwendung eines OP-Roboters;9851;0;2;12;12;57;59;106;98;158;291;522;911;1374;1705;1719;1857;750;173;40;5;0,00;0,0002;0,0012;0,0012;0,0058;0,006;0,0108;0,0099;0,016;0,0295;0,053;0,0925;0,1395;0,1731;0,1745;0,1885;0,0761;0,0176;0,0041;0,0005
5-988;Anwendung eines Navigationssystems;39810;96;147;178;246;388;495;647;773;951;1420;2373;3428;3900;4727;4591;6506;5730;2402;706;106;0,0024;0,0037;0,0045;0,0062;0,0097;0,0124;0,0163;0,0194;0,0239;0,0357;0,0596;0,0861;0,098;0,1187;0,1153;0,1634;0,1439;0,0603;0,0177;0,0027
5-989;Fluoreszenzgestützte Therapieverfahren;8084;0;7;0;11;26;51;102;191;254;359;590;803;863;918;899;1161;1102;532;181;34;0,00;0,0009;0,00;0,0014;0,0032;0,0063;0,0126;0,0236;0,0314;0,0444;0,073;0,0993;0,1068;0,1136;0,1112;0,1436;0,1363;0,0658;0,0224;0,0042
5-98a;Hybridtherapie;4156;21;5;1;2;2;1;7;15;24;20;84;184;328;475;506;701;822;557;310;91;0,0051;0,0012;0,0002;0,0005;0,0005;0,0002;0,0017;0,0036;0,0058;0,0048;0,0202;0,0443;0,0789;0,1143;0,1218;0,1687;0,1978;0,134;0,0746;0,0219
5-98b;Anwendung eines flexiblen Ureterorenoskops;14515;0;7;9;13;95;292;520;713;871;1065;1557;1658;1710;1558;1175;1314;1141;552;218;47;0,00;0,0005;0,0006;0,0009;0,0065;0,0201;0,0358;0,0491;0,06;0,0734;0,1073;0,1142;0,1178;0,1073;0,081;0,0905;0,0786;0,038;0,015;0,0032
5-98c;Anwendung eines Klammernahtgerätes;100711;20;22;115;462;1318;1678;1808;2208;2429;3635;6369;8774;10124;11557;10986;14246;13290;7219;3461;990;0,0002;0,0002;0,0011;0,0046;0,0131;0,0167;0,018;0,0219;0,0241;0,0361;0,0632;0,0871;0,1005;0,1148;0,1091;0,1415;0,132;0,0717;0,0344;0,0098
5-98d;Verwendung von patientenindividuell hergestelltem Instrumentarium;1013;2;1;2;0;3;6;3;3;6;10;52;77;152;156;159;184;147;33;16;1;0,002;0,001;0,002;0,00;0,003;0,0059;0,003;0,003;0,0059;0,0099;0,0513;0,076;0,15;0,154;0,157;0,1816;0,1451;0,0326;0,0158;0,001
5-98e;Intraoperative Blutflussmessung in Gefäßen;9408;10;12;13;5;9;17;30;41;61;111;282;524;933;1227;1237;1867;1893;781;301;54;0,0011;0,0013;0,0014;0,0005;0,001;0,0018;0,0032;0,0044;0,0065;0,0118;0,03;0,0557;0,0992;0,1304;0,1315;0,1984;0,2012;0,083;0,032;0,0057
5-995;Vorzeitiger Abbruch einer Operation (Eingriff nicht komplett durchgeführt);22483;44;44;45;49;156;229;303;384;398;597;1015;1530;1764;2231;2207;3231;3750;2428;1525;553;0,002;0,002;0,002;0,0022;0,0069;0,0102;0,0135;0,0171;0,0177;0,0266;0,0451;0,0681;0,0785;0,0992;0,0982;0,1437;0,1668;0,108;0,0678;0,0246
6-001;Applikation von Medikamenten, Liste 1;84571;15;144;386;1339;1713;969;1153;1331;1473;2200;4436;6832;8660;10215;9756;13975;11982;5474;2037;481;0,0002;0,0017;0,0046;0,0158;0,0203;0,0115;0,0136;0,0157;0,0174;0,026;0,0525;0,0808;0,1024;0,1208;0,1154;0,1652;0,1417;0,0647;0,0241;0,0057
6-002;Applikation von Medikamenten, Liste 2;133496;280;884;1076;1344;1448;1706;1943;2279;2674;4427;8014;12643;15386;17331;15792;19728;16333;7196;2555;457;0,0021;0,0066;0,0081;0,0101;0,0108;0,0128;0,0146;0,0171;0,02;0,0332;0,06;0,0947;0,1153;0,1298;0,1183;0,1478;0,1223;0,0539;0,0191;0,0034
6-003;Applikation von Medikamenten, Liste 3;37020;6704;855;754;755;855;845;1071;1105;1111;1557;2190;2646;2524;2912;2650;3354;2831;1439;686;176;0,1811;0,0231;0,0204;0,0204;0,0231;0,0228;0,0289;0,0298;0,03;0,0421;0,0592;0,0715;0,0682;0,0787;0,0716;0,0906;0,0765;0,0389;0,0185;0,0048
6-004;Applikation von Medikamenten, Liste 4;16851;3956;207;91;176;158;176;160;169;193;359;605;917;1340;1704;1492;2162;1902;780;250;54;0,2348;0,0123;0,0054;0,0104;0,0094;0,0104;0,0095;0,01;0,0115;0,0213;0,0359;0,0544;0,0795;0,1011;0,0885;0,1283;0,1129;0,0463;0,0148;0,0032
6-005;Applikation von Medikamenten, Liste 5;10171;29;129;215;657;479;138;229;206;183;263;527;770;982;1105;975;1417;1293;426;126;22;0,0029;0,0127;0,0211;0,0646;0,0471;0,0136;0,0225;0,0203;0,018;0,0259;0,0518;0,0757;0,0965;0,1086;0,0959;0,1393;0,1271;0,0419;0,0124;0,0022
6-006;Applikation von Medikamenten, Liste 6;3085;0;2;7;11;45;51;64;68;65;104;199;235;224;287;352;562;436;270;87;16;0,00;0,0006;0,0023;0,0036;0,0146;0,0165;0,0207;0,022;0,0211;0,0337;0,0645;0,0762;0,0726;0,093;0,1141;0,1822;0,1413;0,0875;0,0282;0,0052
8-010;Applikation von Medikamenten und Elektrolytlösungen über das Gefäßsystem bei Neugeborenen;80583;80381;73;27;15;31;7;10;4;3;2;4;5;2;4;2;3;5;4;0;1;0,9975;0,0009;0,0003;0,0002;0,0004;0,0001;0,0001;0,00;0,00;0,00;0,00;0,0001;0,00;0,00;0,00;0,00;0,0001;0,00;0,00;0,00
8-011;Intrathekale und intraventrikuläre Applikation von Medikamenten durch Medikamentenpumpen;1725;2;5;26;35;54;34;25;38;54;85;173;197;222;193;169;189;133;61;26;4;0,0012;0,0029;0,0151;0,0203;0,0313;0,0197;0,0145;0,022;0,0313;0,0493;0,1003;0,1142;0,1287;0,1119;0,098;0,1096;0,0771;0,0354;0,0151;0,0023
8-015;Enterale Ernährungstherapie als medizinische Hauptbehandlung;14501;10231;554;248;294;217;63;45;44;36;52;97;162;235;269;303;392;475;370;267;147;0,7055;0,0382;0,0171;0,0203;0,015;0,0043;0,0031;0,003;0,0025;0,0036;0,0067;0,0112;0,0162;0,0186;0,0209;0,027;0,0328;0,0255;0,0184;0,0101
8-016;Parenterale Ernährungstherapie als medizinische Hauptbehandlung;36092;7209;8421;4127;4045;2904;408;399;316;275;318;446;603;706;812;831;1154;1199;889;657;373;0,1997;0,2333;0,1143;0,1121;0,0805;0,0113;0,0111;0,0088;0,0076;0,0088;0,0124;0,0167;0,0196;0,0225;0,023;0,032;0,0332;0,0246;0,0182;0,0103
8-017;Enterale Ernährung als medizinische Nebenbehandlung;15408;2084;203;118;101;114;93;99;103;119;232;513;863;1092;1274;1412;2083;2062;1516;935;392;0,1353;0,0132;0,0077;0,0066;0,0074;0,006;0,0064;0,0067;0,0077;0,0151;0,0333;0,056;0,0709;0,0827;0,0916;0,1352;0,1338;0,0984;0,0607;0,0254
8-018;Komplette parenterale Ernährung als medizinische Nebenbehandlung;18169;436;298;202;234;232;174;204;213;239;386;793;1278;1603;1886;1899;2782;2406;1516;971;417;0,024;0,0164;0,0111;0,0129;0,0128;0,0096;0,0112;0,0117;0,0132;0,0212;0,0436;0,0703;0,0882;0,1038;0,1045;0,1531;0,1324;0,0834;0,0534;0,023
8-020;Therapeutische Injektion;262775;3439;7432;4540;4997;5907;4810;5898;6396;6915;9403;15070;19453;20995;22218;21077;31166;32962;20981;13203;5913;0,0131;0,0283;0,0173;0,019;0,0225;0,0183;0,0224;0,0243;0,0263;0,0358;0,0573;0,074;0,0799;0,0846;0,0802;0,1186;0,1254;0,0798;0,0502;0,0225
8-030;Spezifische allergologische Immuntherapie;4599;0;9;179;202;192;157;180;220;275;425;623;609;489;413;253;243;114;15;1;0;0,00;0,002;0,0389;0,0439;0,0417;0,0341;0,0391;0,0478;0,0598;0,0924;0,1355;0,1324;0,1063;0,0898;0,055;0,0528;0,0248;0,0033;0,0002;0,00
8-100;Fremdkörperentfernung durch Endoskopie;18776;166;1124;462;233;335;398;430;455;421;537;993;1250;1489;1678;1544;2085;2163;1477;1056;480;0,0088;0,0599;0,0246;0,0124;0,0178;0,0212;0,0229;0,0242;0,0224;0,0286;0,0529;0,0666;0,0793;0,0894;0,0822;0,111;0,1152;0,0787;0,0562;0,0256
8-101;Fremdkörperentfernung ohne Inzision;3321;72;443;218;77;107;118;142;137;113;120;143;201;207;199;197;249;231;160;131;56;0,0217;0,1334;0,0656;0,0232;0,0322;0,0355;0,0428;0,0413;0,034;0,0361;0,0431;0,0605;0,0623;0,0599;0,0593;0,075;0,0696;0,0482;0,0394;0,0169
